Team,Finish,TourneyWins,Result,Seed,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,eFGPct,TOPct,ORPct,FTRate,OppeFGPct,OppTOPct,OppORPct,OppFTRate,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate
2003 Air Force,DNQ,0,0,0,55.1348,52.9909,103.781,105.34,103.65,103.722,1.61821,58.4692,20.5325,17.1119,43.3877,51.0522,23.5864,35.5127,45.3704,60.8445,37.5643,65.1357,5.9524,48.4524,38.2184,71.0575,8.4453,52.808,29.2929,67.9104,47.4074,0.1085,0.1007
2003 Akron,DNQ,0,0,0,68.5693,67.0447,110.489,110.167,110.228,110.896,-0.729852,53.4814,17.8017,30.5312,46.2865,54.5809,21.6126,37.594,38.8564,54.5624,33.871,73.639,6.0403,54.65,36.2903,71.9064,7.1695,28.7798,32.2287,56.0709,55.7333,0.1023,0.0903
2003 Alabama,7. First Round,1,1,10,66.4245,65.5541,103.59,110.57,97.9081,95.1017,15.468,47.5802,19.7695,37.5723,36.4186,47.5671,20.6019,32.2388,31.5658,47.1889,32.2183,71.2625,10.6768,46.2345,33.3935,71.5415,8.3871,34.3618,34.5602,50.6475,50.8955,0.0973,0.0801
2003 Alabama A&M,DNQ,0,0,0,75.452,72.3632,92.6734,90.2282,99.5452,108.237,-18.0084,45.2659,24.2083,33.35,35.8625,50.5743,24.7773,35.1943,41.1487,40.7588,36.1868,70.3436,5.1724,49.7126,35.0917,66.5025,10.4086,33.3333,29.4595,59.5041,57.8869,0.1236,0.1205
2003 Alabama St.,DNQ,0,0,0,67.4106,64.3257,93.6775,91.1769,94.177,100.861,-9.68419,47.9625,25.0257,35.3774,29.8189,45.211,22.1747,32.2368,41.1922,45.928,34.898,64.6421,8.1081,44.1752,31.9048,70.7317,8.428,31.6947,28.1313,49.6951,54.6053,0.1235,0.1294
2003 Albany,DNQ,0,0,0,67.4107,66.0018,95.5557,94.8536,109.757,113.42,-18.5659,48.7259,18.2742,23.5324,23.555,53.8001,21.8145,40.333,27.6481,45.6478,35.7488,73.3509,4.9138,53.7069,36.0078,69.697,10.0202,38.5954,30.5805,49.6285,65.0558,0.1,0.0807
2003 Alcorn St.,DNQ,0,0,0,73.8411,70.5744,93.0101,92.727,98.0083,104.268,-11.5407,46.8798,24.8799,35.2503,35.6369,48.4053,22.5512,35.1672,39.5062,46.5332,31.8519,66.8596,8.4548,48.688,31.8182,69.1406,6.7906,27.8494,29.4239,55.5286,60,0.1099,0.1156
2003 American,DNQ,0,0,0,63.7265,62.9563,103.291,103.707,96.1574,101.836,1.87115,51.4633,20.3808,29.9595,30.8842,48.6809,22.5479,32.2866,31.1558,47.3684,37.8963,68.1452,5.0485,47.8641,33.452,61.8952,10.307,43.213,35.3015,61.4388,53.4508,0.0991,0.0913
2003 Appalachian St.,DNQ,0,0,0,78.5697,76.2347,104.18,103.46,102.243,104.54,-1.07929,49.9404,20.2134,33.0769,40.6082,51.4646,23.3343,34.3404,29.1154,50.3617,32.7496,71.953,10.6952,51.1586,34.7009,74.0443,9.132,34.0489,34.2707,53.2258,55.5985,0.1229,0.1114
2003 Arizona,4. Elite Eight,4,2,1,76.3024,73.0165,110.852,115.311,91.5901,88.8866,26.4243,51.4922,19.0144,39.2726,36.8072,45.7652,21.696,32.204,26.949,50.8186,35.3488,70.9138,9.5506,44.6629,32.1101,64.2857,5.7299,30.5542,31.4726,58.4789,58.6288,0.1113,0.0817
2003 Arizona St.,6. Second Round,2,1,10,69.5967,66.8633,108.307,113.116,98.4177,96.3758,16.7407,51.2662,19.5408,38.6157,45.3573,49.8852,21.7885,32.6896,37.3134,52.2054,31.9797,67.1216,10.6109,49.3569,34.1365,68.7692,9.0383,22.1722,28.5878,56.6038,56.1224,0.0757,0.0835
2003 Arkansas,DNQ,0,0,0,67.7884,65.8679,91.0995,98.372,98.9508,94.8948,3.47722,44.7301,24.7211,38.6183,35.2185,47.322,19.6922,30.6025,46.5085,43.75,31.0219,60.9489,9.9698,46.1229,33.195,68.0758,10.8135,35.2185,32.678,44.8445,52.4272,0.0958,0.1106
2003 Arkansas Little Rock,DNQ,0,0,0,67.7962,66.1084,100.652,102.482,99.0243,100.854,1.62778,51.2081,22.9422,31.759,42.1477,49.5235,22.2236,33.8992,36.9759,48.8753,37.1094,69.2675,6.0329,48.3547,34.7917,69.244,9.6115,34.3624,30.4956,48.2036,49.8563,0.095,0.0847
2003 Arkansas Pine Bluff,DNQ,0,0,0,71.6192,67.8508,76.205,77.5325,102.617,102.885,-25.3529,39.8355,26.6014,26.3401,32.4342,49.3201,24.165,41.5832,42.8307,38.7405,28.178,63.8945,7.0707,48.7603,33.6484,69.4084,9.8282,31.0526,32.6947,52.5046,58.2511,0.1104,0.1342
